collision_id,crash_datetime,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_two-wheel_veh,number_of_normal_veh,number_of_large_veh,number_of_unknown_veh,total_number_of_vehicles,contributing_factors
3659943,2017-04-30 11:45:00,QUEENS,11377,40.73401,-73.90603,52 ROAD,59 PLACE,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Driver Inattention/Distraction']
3695968,2017-04-24 10:18:00,BROOKLYN,11233,40.676445,-73.92762,ROCHESTER AVENUE,PACIFIC STREET,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3659769,2017-04-29 20:00:00,QUEENS,11361,40.761436,-73.76995,BELL BOULEVARD,43 AVENUE,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Following Too Closely' 'Unspecified']
3658478,2017-04-27 10:00:00,BROOKLYN,11220,40.632885,-74.019745,BAY RIDGE AVENUE,VISTA PLACE,,0,0,0,0,0,0,0,0,0,0,1,1,2,['Passing or Lane Usage Improper' 'Unspecified']
3662753,2017-05-03 23:00:00,QUEENS,11105,40.780457,-73.91684,21 STREET,DITMARS BOULEVARD,,1,0,0,0,0,0,1,0,0,0,0,2,2,['Alcohol Involvement' 'Unspecified']
3663706,2017-04-29 11:30:00,,,40.718987,-73.892136,ELIOT AVENUE,68 STREET,,1,0,0,0,1,0,0,0,1,0,1,0,2,['View Obstructed/Limited' 'Driver Inattention/Distraction']
4024262,2017-04-26 07:46:00,,,40.68576,-73.915504,BROADWAY,,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Outside Car Distraction']
3670510,2017-05-03 19:00:00,QUEENS,11434,40.69103,-73.78079,LINDEN BOULEVARD,169 STREET,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Unspecified']
3661409,2017-05-01 18:00:00,MANHATTAN,10034,40.86406,-73.92472,,,120       SHERMAN AVENUE,0,0,0,0,0,0,0,0,0,1,0,1,2,['Other Vehicular' 'Unspecified']
3665878,2017-05-08 10:00:00,,,40.6763,-73.80248,VAN WYCK EXPWY,,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Unspecified']
3665436,2017-05-05 16:15:00,BROOKLYN,11216,40.68327,-73.95016,NOSTRAND AVENUE,JEFFERSON AVENUE,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Driver Inattention/Distraction' 'Unspecified']
3665906,2017-05-08 18:05:00,BRONX,10463,40.879482,-73.90591,,,231       WEST 231 STREET,1,0,1,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3657439,2017-04-25 19:45:00,QUEENS,11374,40.73191,-73.87124,WOODHAVEN BOULEVARD,LONG ISLAND EXPRESSWAY,,1,0,1,0,0,0,0,0,0,0,0,1,1,['Driver Inattention/Distraction']
3666484,2017-05-09 15:50:00,,,40.852837,-73.9205,MAJOR DEEGAN EXPRESSWAY,,,1,0,0,0,0,0,1,0,0,1,1,0,2,['Driver Inattention/Distraction' 'Unspecified']
3657939,2017-04-26 13:00:00,,,40.76897,-73.7981,32 AVENUE,,,0,0,0,0,0,0,0,0,0,0,1,1,2,['Passing Too Closely' 'Unspecified']
3666906,2017-05-10 08:15:00,BRONX,10454,40.812263,-73.92059,EAST 143 STREET,WILLIS AVENUE,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Oversized Vehicle' 'Other Vehicular']
3664078,2017-05-06 11:30:00,,,,,VANWYCK EXPRESSWAY,109 AVENUE,,1,0,0,0,0,0,1,0,0,1,0,0,1,['Pavement Slippery']
3660249,2017-04-28 08:10:00,BROOKLYN,11230,,,AVENUE J,EAST 15 STREET,,0,0,0,0,0,0,0,0,0,0,1,0,1,['Driver Inattention/Distraction' 'Unspecified']
3662368,2017-05-02 16:11:00,BROOKLYN,11204,40.625996,-73.99076,16 AVENUE,58 STREET,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unspecified']
3665702,2017-05-06 16:00:00,QUEENS,11426,40.73084,-73.71204,254 STREET,87 AVENUE,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Unspecified']
3667557,2017-05-09 10:30:00,,,40.733433,-73.9955,WEST 10 STREET,,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Driver Inattention/Distraction' 'Unspecified']
