tree_id,created_at,block_id,tree_dbh,stump_diam,is_OnCurb,health,spc_common,steward,guards,sidewalk_damaged,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,latitude,longitude,is_dead,is_stump
204010,2015-09-05,107539,8,0,1,2.0,Callery pear,3.0,Unsure,0.0,Volunteer,BranchOther,0,0,0,0,0,0,0,0,1,33 EAST 70 STREET,10021,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1013000,40.7704013891506,-73.96611252073379,0,0
205689,2015-09-06,106362,10,0,1,2.0,Callery pear,3.0,Helpful,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,320 WEST 73 STREET,10023,New York,107,1,Manhattan,6,67,29,MN14,Lincoln Square,1015900,40.78093705639848,-73.98492380651963,0,0
189317,2015-08-30,349085,8,0,1,2.0,Sophora,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,98-015 65 ROAD,11374,Rego Park,406,4,Queens,29,28,16,QN17,Forest Hills,4071304,40.728626196486374,-73.85652381096364,0,0
163145,2015-08-20,223292,4,0,1,2.0,white oak,0.0,None,1.0,Volunteer,None,0,0,0,0,0,0,0,0,0,273 5 STREET,11215,Brooklyn,306,3,Brooklyn,39,52,20,BK37,Park Slope-Gowanus,3013500,40.67304608583913,-73.98627024855678,0,0
163147,2015-08-20,223292,3,0,1,2.0,white oak,0.0,None,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,273 5 STREET,11215,Brooklyn,306,3,Brooklyn,39,52,20,BK37,Park Slope-Gowanus,3013500,40.673162960978125,-73.98617237399314,0,0
179776,2015-08-27,230466,7,0,1,2.0,Sophora,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,2732 BEDFORD AVENUE,11210,Brooklyn,314,3,Brooklyn,45,42,21,BK42,Flatbush,3077000,40.63617194575145,-73.95358258241535,0,0
161141,2015-08-20,102271,9,0,1,1.0,Sophora,0.0,None,0.0,TreesCount Staff,Stones,1,0,0,0,0,0,0,0,0,605 HUDSON STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1007700,40.737228969128836,-74.00564484119514,0,0
176166,2015-08-26,340042,5,0,1,1.0,Sophora,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,774 ELVIRA AVENUE,11691,Far Rockaway,414,4,Queens,31,23,15,QN15,Far Rockaway-Bayswater,4101002,40.60159686022606,-73.74261149705507,0,0
192074,2015-08-31,203633,16,0,1,2.0,Sophora,0.0,None,0.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,9011 RIDGE BOULEVARD,11209,Brooklyn,310,3,Brooklyn,43,46,22,BK31,Bay Ridge,3005800,40.620977565702304,-74.0349254309092,0,0
186509,2015-08-29,505470,4,0,1,1.0,white oak,0.0,None,0.0,Volunteer,"RootOther,BranchOther",0,0,1,0,0,0,0,0,1,532 EAST 184 STREET,10458,Bronx,206,2,Bronx,15,78,33,BX01,Claremont-Bathgate,2038500,40.85495155530641,-73.89101539801852,0,0
